ItemNo,Participant,Trial,ACondition,Plaus,Heard Answer,HA Wlength,Anumber,List,QCondition,QFile,Qnumber,Question,Expected Answer,EA Wlength,QLSA,response,Correct,Incorrect,Prop Heard,Block,Plaus HIT,Plaus Incorrect,NumberOfPlausibleWordsReported,NumberOfPlausibleWordsNotReported,Prop Expected
2,74472,12,Implausible,1.09,It hit an iceberg,4,12,2b,Predictable,14P,14,At which train station will you find platform nine and three quarters?,Kings Cross,2,0.74,Unintelligble,0,4,0,3,0,2,0,2,0
23,74472,13,Implausible,1.27,James bond,2,13,2b,Predictable,20P,20,Where does the prime minister live?,Ten Downing Street,3,0.8,James bond,2,0,1,3,0,3,0,3,0
13,74472,14,Implausible,1.36,Harry Potter,2,10,2b,Predictable,16P,16,What is the thirty first of December?,New Years Eve,3,0.8,Harry potter,2,0,1,3,0,3,0,3,0
2,39444,1,Implausible,1.55,It hit an iceberg,4,12,4b,Unpredictable,14U,14,Where are you getting a train from?,Kings Cross,2,0.32,From London,0,4,0,1,0,2,0,2,0
22,39444,2,Implausible,1.82,Molly and Arthur,3,15,4b,Unpredictable,27U,27,Where would you like to go when you visit America?,The White House,3,0.41,The Big Apple,0,3,0,1,1,2,1,2,0.333333333
29,39444,3,Implausible,1.36,The North Pole,3,23,4b,Unpredictable,2U,2,Who is your favourite sportsman?,Andy Murray,2,0.19,Rob Burrows,0,3,0,1,0,2,0,2,0
17,39444,4,Implausible,1,A knife and fork,4,1,4b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,April fourth,0,4,0,1,0,3,0,3,0
10,39444,5,Implausible,1.91,Snow White,2,19,4b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,snow white,2,0,1,1,0,3,0,3,0
31,39444,6,Implausible,1.27,The Eiffel Tower,3,22,4b,Unpredictable,6U,6,Who is your favourite animated character?,Buzz Lightyear,2,0.16,eiffel tower,2,1,0.666666667,2,0,2,0,2,0
13,39444,7,Implausible,1.46,Harry Potter,2,10,4b,Unpredictable,16U,16,When would you next like to go for drinks?,New Years Eve,3,0.57,Harry Potter,2,0,1,2,0,3,0,3,0
11,39444,8,Implausible,1.09,New York,2,17,4b,Unpredictable,28U,28,Who did you see when you visited London?,Theresa May,2,0.38,No one,0,2,0,2,0,2,0,2,0
20,39444,9,Implausible,1.27,Donald Trump,2,8,4b,Unpredictable,25U,25,Where did you go on your boat ride yesterday?,The Thames,2,0.33,don't know,0,2,0,2,0,2,0,2,0
23,39444,10,Implausible,1.27,James bond,2,13,4b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,James Bond,2,0,1,2,0,3,0,3,0
6,39444,11,Implausible,2.64,Ham and pineapple,3,9,4b,Unpredictable,24U,24,What can you see out of your window?,The Northern Lights,3,0.28,Don't know,0,3,0,3,0,3,0,3,0
15,39444,12,Implausible,2.91,Twice a day,3,30,4b,Unpredictable,3U,3,What is your brother's nickname?,Big Ben,2,0.11,Twice away,1,2,0.333333333,3,0,2,0,2,0
18,39444,13,Implausible,1.09,Robin hood,2,31,4b,Unpredictable,18U,18,When do you next have a day off work?,October thirty first,3,0.58,Robin Hood,2,0,1,3,0,3,0,3,0
24,39444,14,Implausible,1.55,Black and white,3,4,4b,Unpredictable,5U,5,Which tourist attraction would you like to visit in London?,Buckingham Palace,2,0.33,Black and white,2,1,0.666666667,3,0,2,0,2,0
12,4977,1,Implausible,1,The White House,3,27,2a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,harry,0,3,0,1,0,2,0,2,0
14,4977,2,Implausible,1.82,Ten Downing Street,3,20,2a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,10 downing street,3,0,1,1,0,2,0,2,0
25,4977,3,Implausible,1.55,Buzz Lightyear,2,6,2a,Predictable,17P,17,Which city is the statue of Liberty in?,New York,2,0.97,the white house,0,2,0,1,0,2,0,2,0
8,4977,4,Implausible,1.09,Theresa May,2,28,2a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,sausage,0,2,0,1,0,4,0,4,0
7,4977,5,Implausible,1.09,Tom Hanks,2,29,2a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,thanks,0,2,0,1,0,3,0,3,0
28,4977,6,Implausible,1.73,The Amazon River,3,21,2a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,dogs,0,3,0,2,0,2,0,2,0
1,4977,7,Implausible,1.09,December 25th,3,7,2a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,december 25th ,3,0,1,2,0,3,0,3,0
27,4977,8,Implausible,1.18,The Thames,2,25,2a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,town,0,2,0,2,0,2,0,2,0
3,4977,9,Implausible,1.36,Andy Murray,2,2,2a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,whale,0,2,0,2,0,4,0,4,0
4,4977,10,Implausible,1.18,Big Ben,2,3,2a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,picker,0,2,0,2,0,3,0,3,0
19,4977,11,Implausible,1.09,October thirty first,3,18,2a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,october 31st,3,0,1,3,0,3,0,3,0
21,4977,12,Implausible,1.27,New Years Eve,3,16,2a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,new years eve,3,0,1,3,0,3,0,3,0
16,4977,13,Implausible,1.36,Kings Cross,2,14,2a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,kings cross,2,0,1,3,0,2,0,2,0
5,4977,14,Implausible,1.64,The Tube,2,26,2a,Predictable,15P,15,What are the names of Ron Weasley's Mum and Dad?,Molly and Arthur,3,0.67,cheap,0,2,0,3,0,3,0,3,0
19,31153,1,Plausible,5.1,The Eiffel Tower,3,22,3a,Unpredictable,22U,22,Where are you going at Christmas?,The Eiffel Tower,3,0.51,town,0,3,0,1,0,3,0,3,0
16,31153,2,Plausible,5.18,James bond,2,13,3a,Unpredictable,13U,13,What is your favourite film?,James Bond,2,0.22,james bond,2,0,1,1,2,0,2,0,1
7,31153,3,Plausible,6.55,Black and white,3,4,3a,Unpredictable,4U,4,What colours should I paint the wall?,Black and white,3,0.41,black and white,3,0,1,1,3,0,3,0,1
27,31153,4,Plausible,6.55,Snow White,2,19,3a,Unpredictable,19U,19,Who is your favourite fictional character?,Snow White,2,0.11,shrek,0,2,0,1,0,2,0,2,0
5,31153,5,Plausible,7,Molly and Arthur,3,15,3a,Unpredictable,15U,15,What are your parents called?,Molly and Arthur,3,0.21,louis and margret,1,2,0.333333333,1,1,2,1,2,0.333333333
3,31153,6,Plausible,6.09,It hit an iceberg,4,12,3a,Unpredictable,12U,12,What happened to your boat?,It hit an iceberg,4,0.58,gone bad,0,4,0,2,0,4,0,4,0
8,31153,7,Plausible,6.27,A knife and fork,4,1,3a,Unpredictable,1U,1,What did you buy from the shop?,A knife and fork,4,0.32,a knife and fork,4,0,1,2,4,0,4,0,1
12,31153,8,Plausible,6.27,Harry Potter,2,10,3a,Unpredictable,10U,10,What is the name of your favourite book?,Harry Potter,2,0.35,harry potter,2,0,1,2,2,0,2,0,1
14,31153,9,Plausible,4.91,Robin hood,2,31,3a,Unpredictable,31U,31,What is your best friend called?,Robin Hood,2,0.12,logan hood,1,1,0.5,2,1,1,1,1,0.5
1,31153,10,Plausible,4.91,Ham and pineapple,3,9,3a,Unpredictable,9U,9,What would you like for dinner?,Ham and Pineapple,3,0.31,ham and pineapple,3,0,1,2,3,0,3,0,1
28,31153,11,Plausible,6.91,Donald Trump,2,8,3a,Unpredictable,8U,8,Who did you see interviewed on television recently?,Donald Trump,2,0.21,david,0,2,0,3,0,2,0,2,0
21,31153,12,Plausible,5.82,The North Pole,3,23,3a,Unpredictable,23U,23,Where would you like to go on holiday?,The Northe Pole,3,0.15,north pole,2,1,0.666666667,3,2,1,2,1,0.666666667
25,31153,13,Plausible,6.09,New York,2,17,3a,Unpredictable,17U,17,Where would you like to go shopping?,New York,2,0.24,newyork,2,0,1,3,2,0,2,0,1
4,31153,14,Plausible,6.64,Twice a day,3,30,3a,Unpredictable,30U,30,How often do you go outside for a walk?,Twice a day,3,0.54,twice a day,3,0,1,3,3,0,3,0,1
17,41696,1,Plausible,6.55,December 25th,3,7,1b,Predictable,7P,7,When do you celebrate Christmas?,December twenty fifth,3,0.9,December 25th,3,0,1,1,3,0,3,0,1
10,41696,2,Plausible,5.64,The Amazon River,3,21,1b,Predictable,21P,21,What is the longest river in the world?,The Amazon river,3,0.63,The Amazon River,3,0,1,1,3,0,3,0,1
13,41696,3,Plausible,7,New Years Eve,3,16,1b,Predictable,16P,16,What is the thirty first of December?,New Years Eve,3,0.8,New Years Eve,3,0,1,1,3,0,3,0,1
15,41696,4,Plausible,6.64,Big Ben,2,3,1b,Predictable,3P,3,Which famous clock is in London?,Big Ben,2,1,Big Ben,2,0,1,1,2,0,2,0,1
9,41696,5,Plausible,6.91,The Tube,2,26,1b,Predictable,26P,26,What is London's underground railway also known as?,The Tube,2,0.71,The Tube,2,0,1,1,2,0,2,0,1
20,41696,6,Plausible,6.91,The Thames,2,25,1b,Predictable,25P,25,Which river runs through London?,The Thames,2,0.69,The Thames,2,0,1,2,2,0,2,0,1
24,41696,7,Plausible,6.55,Buckingham Palace,2,5,1b,Predictable,5P,5,Where does the Queen live?,Buckingham Palace,2,0.72,Buckingham Palace,2,0,1,2,2,0,2,0,1
6,41696,8,Plausible,5.64,The Northern Lights,3,24,1b,Predictable,24P,24,What is Aurora Borealis commonly known as?,The Northern Lights,3,0.85,The Forty Nights,2,1,0.666666667,2,1,2,1,2,0.333333333
2,41696,9,Plausible,5.91,Kings Cross,2,14,1b,Predictable,14P,14,At which train station will you find platform nine and three quarters?,Kings Cross,2,0.74,Kings Cross,2,0,1,2,2,0,2,0,1
29,41696,10,Plausible,6.55,Andy Murray,2,2,1b,Predictable,2P,2,Who is the best Scottish tennis player?,Andy Murray,2,0.89,Andy Murray,2,0,1,2,2,0,2,0,1
22,41696,11,Plausible,6.73,The White House,3,27,1b,Predictable,27P,27,Where does the president of America live?,The White House,3,0.84,The White House,3,0,1,3,3,0,3,0,1
23,41696,12,Plausible,6.82,Ten Downing Street,3,20,1b,Predictable,20P,20,Where does the prime minister live?,Ten Downing Street,3,0.8,10 Downing Street,3,0,1,3,3,0,3,0,1
18,41696,13,Plausible,7,October thirty first,3,18,1b,Predictable,18P,18,When do you celebrate Halloween?,October thirty first,3,0.89,October 31st,3,0,1,3,3,0,3,0,1
31,41696,14,Plausible,6.82,Buzz Lightyear,2,6,1b,Predictable,6P,6,Which space ranger starred in Toy Story?,Buzz Lightyear,2,0.93,Buzz Lightyear,2,0,1,3,2,0,2,0,1
21,64533,1,Implausible,1.27,New Years Eve,3,16,2a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,North pole,0,3,0,1,2,1,2,1,0.666666667
8,64533,2,Implausible,1.09,Theresa May,2,28,2a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,Knife,0,2,0,1,1,3,1,3,0.25
1,64533,3,Implausible,1.09,December 25th,3,7,2a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,pineapple,0,3,0,1,1,2,1,2,0.333333333
25,64533,4,Implausible,1.55,Buzz Lightyear,2,6,2a,Predictable,17P,17,Which city is the statue of Liberty in?,New York,2,0.97,New york,0,2,0,1,2,0,2,0,1
19,64533,5,Implausible,1.09,October thirty first,3,18,2a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,April 31st,0,3,0,1,0,3,0,3,0
14,64533,6,Implausible,1.82,Ten Downing Street,3,20,2a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,10th,0,3,0,2,0,2,0,2,0
4,64533,7,Implausible,1.18,Big Ben,2,3,2a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,pink,0,2,0,2,0,3,0,3,0
16,64533,8,Implausible,1.36,Kings Cross,2,14,2a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,Kings cross,2,0,1,2,0,2,0,2,0
12,64533,9,Implausible,1,The White House,3,27,2a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,The white house,3,0,1,2,0,2,0,2,0
28,64533,10,Implausible,1.73,The Amazon River,3,21,2a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,Fusion,0,3,0,2,0,2,0,2,0
27,64533,11,Implausible,1.18,The Thames,2,25,2a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,hit,0,2,0,3,0,2,0,2,0
3,64533,12,Implausible,1.36,Andy Murray,2,2,2a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,don't know,0,2,0,3,0,4,0,4,0
5,64533,13,Implausible,1.64,The Tube,2,26,2a,Predictable,15P,15,What are the names of Ron Weasley's Mum and Dad?,Molly and Arthur,3,0.67,a chain,0,2,0,3,0,3,0,3,0
7,64533,14,Implausible,1.09,Tom Hanks,2,29,2a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,the force,0,2,0,3,0,3,0,3,0
22,76434,1,Implausible,1.82,Molly and Arthur,3,15,4b,Unpredictable,27U,27,Where would you like to go when you visit America?,The White House,3,0.41,the grand canyon,0,3,0,1,0,3,0,3,0
18,76434,2,Implausible,1.09,Robin hood,2,31,4b,Unpredictable,18U,18,When do you next have a day off work?,October thirty first,3,0.58,saturday,0,2,0,1,0,3,0,3,0
10,76434,3,Implausible,1.91,Snow White,2,19,4b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,small lake,0,2,0,1,0,3,0,3,0
23,76434,4,Implausible,1.27,James bond,2,13,4b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,duck pond,0,2,0,1,0,3,0,3,0
6,76434,5,Implausible,2.64,Ham and pineapple,3,9,4b,Unpredictable,24U,24,What can you see out of your window?,The Northern Lights,3,0.28,tall trees,0,3,0,1,0,3,0,3,0
15,76434,6,Implausible,2.91,Twice a day,3,30,4b,Unpredictable,3U,3,What is your brother's nickname?,Big Ben,2,0.11,frankenstein,0,3,0,2,0,2,0,2,0
11,76434,7,Implausible,1.09,New York,2,17,4b,Unpredictable,28U,28,Who did you see when you visited London?,Theresa May,2,0.38,the queen,0,2,0,2,0,2,0,2,0
20,76434,8,Implausible,1.27,Donald Trump,2,8,4b,Unpredictable,25U,25,Where did you go on your boat ride yesterday?,The Thames,2,0.33,the river,0,2,0,2,1,1,1,1,0.5
2,76434,9,Implausible,1.55,It hit an iceberg,4,12,4b,Unpredictable,14U,14,Where are you getting a train from?,Kings Cross,2,0.32,grand central station,0,4,0,2,0,2,0,2,0
31,76434,10,Implausible,1.27,The Eiffel Tower,3,22,4b,Unpredictable,6U,6,Who is your favourite animated character?,Buzz Lightyear,2,0.16,eiffel tower,2,1,0.666666667,2,0,2,0,2,0
29,76434,11,Implausible,1.36,The North Pole,3,23,4b,Unpredictable,2U,2,Who is your favourite sportsman?,Andy Murray,2,0.19,david beckham,0,3,0,3,0,2,0,2,0
17,76434,12,Implausible,1,A knife and fork,4,1,4b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,april fourth,0,4,0,3,0,3,0,3,0
24,76434,13,Implausible,1.55,Black and white,3,4,4b,Unpredictable,5U,5,Which tourist attraction would you like to visit in London?,Buckingham Palace,2,0.33,buckingham palace,0,3,0,3,2,0,2,0,1
13,76434,14,Implausible,1.46,Harry Potter,2,10,4b,Unpredictable,16U,16,When would you next like to go for drinks?,New Years Eve,3,0.57,funny bottom,0,2,0,3,0,3,0,3,0
12,41699,1,Implausible,1,The White House,3,27,2a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,Harry Potter,0,3,0,1,2,0,2,0,1
16,41699,2,Implausible,1.36,Kings Cross,2,14,2a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,George Cross,1,1,0.5,1,0,2,0,2,0
5,41699,3,Implausible,1.64,The Tube,2,26,2a,Predictable,15P,15,What are the names of Ron Weasley's Mum and Dad?,Molly and Arthur,3,0.67,Percy ,0,2,0,1,0,3,0,3,0
7,41699,4,Implausible,1.09,Tom Hanks,2,29,2a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,White,0,2,0,1,1,2,1,2,0.333333333
21,41699,5,Implausible,1.27,New Years Eve,3,16,2a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,North Pole,0,3,0,1,2,1,2,1,0.666666667
27,41699,6,Implausible,1.18,The Thames,2,25,2a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,Snow White,0,2,0,2,2,0,2,0,1
4,41699,7,Implausible,1.18,Big Ben,2,3,2a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,Twice a day,0,2,0,2,3,0,3,0,1
25,41699,8,Implausible,1.55,Buzz Lightyear,2,6,2a,Predictable,17P,17,Which city is the statue of Liberty in?,New York,2,0.97,Manhattan,0,2,0,2,0,2,0,2,0
8,41699,9,Implausible,1.09,Theresa May,2,28,2a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,Knife and form,0,2,0,2,2,2,2,2,0.5
14,41699,10,Implausible,1.82,Ten Downing Street,3,20,2a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,The wizard ,0,3,0,2,0,2,0,2,0
1,41699,11,Implausible,1.09,December 25th,3,7,2a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,Pepperoni ,0,3,0,3,0,3,0,3,0
19,41699,12,Implausible,1.09,October thirty first,3,18,2a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,Eiffel Tower,0,3,0,3,2,1,2,1,0.666666667
28,41699,13,Implausible,1.73,The Amazon River,3,21,2a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,Donald Trump,0,3,0,3,2,0,2,0,1
3,41699,14,Implausible,1.36,Andy Murray,2,2,2a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,Iceberg,0,2,0,3,1,3,1,3,0.25
21,18616,1,Implausible,1.27,New Years Eve,3,16,2a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,iceland,0,3,0,1,0,3,0,3,0
25,18616,2,Implausible,1.55,Buzz Lightyear,2,6,2a,Predictable,17P,17,Which city is the statue of Liberty in?,New York,2,0.97,new york,0,2,0,1,2,0,2,0,1
7,18616,3,Implausible,1.09,Tom Hanks,2,29,2a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,white,0,2,0,1,1,2,1,2,0.333333333
4,18616,4,Implausible,1.18,Big Ben,2,3,2a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,twice daily,0,2,0,1,1,2,1,2,0.333333333
1,18616,5,Implausible,1.09,December 25th,3,7,2a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,ketchup and mayo,0,3,0,1,1,2,1,2,0.333333333
19,18616,6,Implausible,1.09,October thirty first,3,18,2a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,the eiffel tower,0,3,0,2,3,0,3,0,1
3,18616,7,Implausible,1.36,Andy Murray,2,2,2a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,it hit ice,0,2,0,2,2,2,2,2,0.5
14,18616,8,Implausible,1.82,Ten Downing Street,3,20,2a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,outlaws,0,3,0,2,0,2,0,2,0
8,18616,9,Implausible,1.09,Theresa May,2,28,2a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,table knife,0,2,0,2,0,4,0,4,0
16,18616,10,Implausible,1.36,Kings Cross,2,14,2a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,james bond,0,2,0,2,2,0,2,0,1
28,18616,11,Implausible,1.73,The Amazon River,3,21,2a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,donald trump,0,3,0,3,2,0,2,0,1
12,18616,12,Implausible,1,The White House,3,27,2a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,harry potter,0,3,0,3,2,0,2,0,1
5,18616,13,Implausible,1.64,The Tube,2,26,2a,Predictable,15P,15,What are the names of Ron Weasley's Mum and Dad?,Molly and Arthur,3,0.67,tonto,0,2,0,3,0,3,0,3,0
27,18616,14,Implausible,1.18,The Thames,2,25,2a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,snow white,0,2,0,3,2,0,2,0,1
12,67615,1,Implausible,1,The White House,3,27,2a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,the white house,3,0,1,1,0,2,0,2,0
16,67615,2,Implausible,1.36,Kings Cross,2,14,2a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,james cross,1,1,0.5,1,1,1,1,1,0.5
27,67615,3,Implausible,1.18,The Thames,2,25,2a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,dont know,0,2,0,1,0,2,0,2,0
3,67615,4,Implausible,1.36,Andy Murray,2,2,2a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,i dont know,0,2,0,1,0,4,0,4,0
4,67615,5,Implausible,1.18,Big Ben,2,3,2a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,big bang,1,1,0.5,1,0,3,0,3,0
14,67615,6,Implausible,1.82,Ten Downing Street,3,20,2a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,the old street,1,2,0.333333333,2,0,2,0,2,0
19,67615,7,Implausible,1.09,October thirty first,3,18,2a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,the first,1,2,0.333333333,2,1,2,1,2,0.333333333
28,67615,8,Implausible,1.73,The Amazon River,3,21,2a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,trump,0,3,0,2,0,2,0,2,0
1,67615,9,Implausible,1.09,December 25th,3,7,2a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,its the twenty fifth,2,1,0.666666667,2,0,3,0,3,0
8,67615,10,Implausible,1.09,Theresa May,2,28,2a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,razor blade,0,2,0,2,0,4,0,4,0
25,67615,11,Implausible,1.55,Buzz Lightyear,2,6,2a,Predictable,17P,17,Which city is the statue of Liberty in?,New York,2,0.97,washington,0,2,0,3,0,2,0,2,0
7,67615,12,Implausible,1.09,Tom Hanks,2,29,2a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,thrush,0,2,0,3,0,3,0,3,0
21,67615,13,Implausible,1.27,New Years Eve,3,16,2a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,street,0,3,0,3,0,3,0,3,0
5,67615,14,Implausible,1.64,The Tube,2,26,2a,Predictable,15P,15,What are the names of Ron Weasley's Mum and Dad?,Molly and Arthur,3,0.67,the chin,0,2,0,3,0,3,0,3,0
8,21030,1,Plausible,6.46,A knife and fork,4,1,1a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,A knife and fork.,4,0,1,1,4,0,4,0,1
21,21030,2,Plausible,5.27,The North Pole,3,23,1a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,The North Pole.,3,0,1,1,3,0,3,0,1
4,21030,3,Plausible,6.27,Twice a day,3,30,1a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,Twice a day.,3,0,1,1,3,0,3,0,1
7,21030,4,Plausible,6.91,Black and white,3,4,1a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,black and white,3,0,1,1,3,0,3,0,1
28,21030,5,Plausible,6.91,Donald Trump,2,8,1a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,Donald Trump,2,0,1,1,2,0,2,0,1
3,21030,6,Plausible,6.64,It hit an iceberg,4,12,1a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,It hit an iceberg.,4,0,1,2,4,0,4,0,1
1,21030,7,Plausible,6.91,Ham and pineapple,3,9,1a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,ham and pineapple,3,0,1,2,3,0,3,0,1
27,21030,8,Plausible,6.91,Snow White,2,19,1a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,Snow White,2,0,1,2,2,0,2,0,1
5,21030,9,Plausible,6.27,Molly and Arthur,3,15,1a,Predictable,15P,15,What are the names of Ron Weasley's mum and dad?,Molly and Arthur,3,0.67,Molly and Arthur,3,0,1,2,3,0,3,0,1
25,21030,10,Plausible,7,New York,2,17,1a,Predictable,17P,17,Which city is the statue of liberty in?,New York,2,0.97,New York,2,0,1,2,2,0,2,0,1
16,21030,11,Plausible,7,James bond,2,13,1a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,James Bond,2,0,1,3,2,0,2,0,1
14,21030,12,Plausible,5.82,Robin hood,2,31,1a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,Robin Hood,2,0,1,3,2,0,2,0,1
19,21030,13,Plausible,6.27,The Eiffel Tower,3,22,1a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,The Eiffel Tower,3,0,1,3,3,0,3,0,1
12,21030,14,Plausible,6.82,Harry Potter,2,10,1a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,Harry Potter,2,0,1,3,2,0,2,0,1
10,97699,1,Plausible,4.82,The Amazon River,3,21,3b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,where is the river,1,2,0.333333333,1,1,2,1,2,0.333333333
13,97699,2,Plausible,5.82,New Years Eve,3,16,3b,Unpredictable,16U,16,When would you like to go for drinks?,New Years Eve,3,0.57,the palace,0,3,0,1,0,3,0,3,0
23,97699,3,Plausible,5.82,Ten Downing Street,3,20,3b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,Fitz Alan Street,1,2,0.333333333,1,1,2,1,2,0.333333333
15,97699,4,Plausible,5.46,Big Ben,2,3,3b,Unpredictable,3U,3,What is your brother's nickname?,Big Ben,2,0.11,Big boy,1,1,0.5,1,1,1,1,1,0.5
29,97699,5,Plausible,6.82,Andy Murray,2,2,3b,Unpredictable,2U,2,Who is your favourite sportsman?,Andy Murray,2,0.19,alan lamb,0,2,0,1,0,2,0,2,0
22,97699,6,Plausible,6.82,The White House,3,27,3b,Unpredictable,27U,27,Where would you like to go when you visit America?,The White House,3,0.41,The white house,3,0,1,2,3,0,3,0,1
18,97699,7,Plausible,6.73,October thirty first,3,18,3b,Unpredictable,18U,18,When do you next have a day off work?,October thirty first,3,0.58,October 31st,3,0,1,2,3,0,3,0,1
